Pair Chrm Bin Count Mean STDev SEM
FST_C_M chr12 4.25 1 -0.0155119959338 0.0 nan
FST_C_M chr12 4.5 3 -0.022765189542 0.0379126935616 0.0268083227104
FST_C_M chr12 5.75 13 0.129326705909 0.0655136697021 0.0189121674191
FST_C_M chr12 4.75 1 0.0381073021265 0.0 nan
FST_C_M chr12 6.25 19 0.215526766903 0.0935877766201 0.0220588504947
FST_C_M chr12 5.25 31 0.100563208001 0.0998999274616 0.0182391479213
FST_C_M chr11 5.5 5 -0.0472405460055 0.0703325554464 0.0351662777232
FST_C_M chr11 6.5 12 0.0835936700838 0.162424932768 0.048972959872
FST_C_M chr11 6.75 100 -0.979360882583 0.230639384111 0.023180130272
FST_C_M chr11 5.0 23 -0.0565455561823 0.231528272327 0.0493619935166
FST_C_M chr11 4.75 1 -0.142151685936 0.0 nan
FST_C_M chr11 6.0 5 0.0333625948596 0.10577213904 0.0528860695198
FST_C_M chr11 5.75 5 -0.0913993426149 0.103645746643 0.0518228733215
FST_C_M chr11 6.25 5 0.181083870613 0.109128792121 0.0545643960604
FST_C_M chr11 5.25 1 -0.082211106836 0.0 nan
FST_C_M chr10 5.5 11 -0.0672232513453 0.0472292083997 0.014935187063
FST_C_M chr10 6.5 87 -0.104867261114 0.186086502847 0.0200662236577
FST_C_M chr10 6.75 49 -0.126934424604 0.112450709884 0.0162308619056
FST_C_M chr10 5.0 3 -0.0139171786189 0.048543057172 0.0343251249058
FST_C_M chr10 5.25 5 -0.0026691776711 0.0471026031808 0.0235513015904
FST_C_M chr10 7.0 22 0.22320062798 0.273006970847 0.0595750051979
FST_C_M chr10 4.25 1 -0.0837319737636 0.0 nan
FST_C_M chr10 4.5 3 -0.0329472415582 0.0309698174071 0.0218989679007
FST_C_M chr10 6.0 12 -0.120246534527 0.0642635379654 0.0193761857393
FST_C_M chr10 5.75 20 -0.0639136412748 0.0442533902875 0.0101524240091
FST_C_M chr10 6.25 22 -0.102225497107 0.112009704456 0.0244425213923
FST_C_M chr10 4.75 1 -0.161797720604 0.0 nan
FST_C_M chr17 5.5 8 0.137477123863 0.0966047385343 0.0365131590903
FST_C_M chr17 6.5 63 -0.148662861759 0.198252945884 0.0251781493054
FST_C_M chr17 6.75 77 0.0130929817643 0.114549906558 0.0131397754389
FST_C_M chr17 5.0 2 -0.00442615947754 0.0368314095227 0.0368314095227
FST_C_M chr17 5.25 26 0.230444102107 0.0923715591719 0.0184743118344
FST_C_M chr17 7.0 63 0.290630976941 0.824660845613 0.104732032125
FST_C_M chr17 4.25 6 0.00690183597488 0.152845579333 0.0683546210896
FST_C_M chr17 6.0 30 0.14741890651 0.0888072692406 0.0164910958942
FST_C_M chr17 5.75 8 0.121916854387 0.045870387772 0.017337376941
FST_C_M chr17 6.25 80 -0.166194693798 0.216911186027 0.0244044150974
FST_C_M chr17 4.75 18 0.0872207201442 0.182149060724 0.0441776362925
FST_C_M chr16 5.5 7 0.250790315409 0.121069651159 0.0494264781126
FST_C_M chr16 6.5 3 0.0709197714722 0.0298180688715 0.0210845587009
FST_C_M chr16 6.75 3 -0.953558254995 0.230990114906 0.163334676637
FST_C_M chr16 5.0 2 -0.0689228569877 0.0246626624765 0.0246626624765
FST_C_M chr16 5.75 7 0.181785623375 0.148238729882 0.060518208055
FST_C_M chr16 4.25 2 0.096473488487 0.0239446763239 0.0239446763239
FST_C_M chr16 4.5 1 -0.318861630051 0.0 nan
FST_C_M chr16 6.0 68 0.318014366568 0.21179649552 0.0258750601743
FST_C_M chr16 6.25 15 0.385718132754 0.185848349472 0.0496700606872
FST_C_M chr16 5.25 2 0.183102325658 0.0189669722759 0.0189669722759
FST_C_M chr15 5.5 17 0.144519849787 0.121309116211 0.0303272790527
FST_C_M chr15 6.5 36 -0.135768674848 0.065545975073 0.0110792919427
FST_C_M chr15 6.75 36 -0.874141348834 0.730691846437 0.123509464582
FST_C_M chr15 5.0 2 0.031020161656 0.0758287682129 0.0758287682129
FST_C_M chr15 4.75 2 0.0168386538002 0.131589505702 0.131589505702
FST_C_M chr15 6.0 51 0.237672836732 0.189853552225 0.0268493468422
FST_C_M chr15 5.75 5 0.217743591961 0.127644866492 0.0638224332461
FST_C_M chr15 6.25 13 0.228538238276 0.112002318596 0.0323322843956
FST_C_M chr15 5.25 3 -0.198198710588 0.0769435562746 0.0544073104104
FST_C_M chr14 6.5 20 -0.156274044841 0.175829645179 0.0403380870848
FST_C_M chr14 5.25 2 0.0340081822304 0.0477824974692 0.0477824974692
FST_C_M chr14 6.0 16 0.077624347856 0.157705272678 0.0407193263128
FST_C_M chr14 6.75 3 0.306117062297 0.26525173085 0.187561297606
FST_C_M chr14 5.75 7 0.0295375297243 0.154580371964 0.0631071725937
FST_C_M chr14 6.25 7 0.14941744991 0.08330723111 0.0340100346839
FST_C_M chr19 5.5 5 -0.0353363018391 0.0433127414979 0.021656370749
FST_C_M chr19 6.5 100 -0.0744097156144 0.215124811268 0.0216208570325
FST_C_M chr19 6.75 37 0.055751825559 0.0305608641807 0.00509347736345
FST_C_M chr19 5.0 3 -0.0533786297388 0.0490789040622 0.0347040258756
FST_C_M chr19 5.25 21 0.0488961667847 0.0995609677232 0.0222625091735
FST_C_M chr19 7.0 37 0.430803287715 0.364271496012 0.0607119160019
FST_C_M chr19 0.0 2 1.87482722702 0.0338934586964 0.0338934586964
FST_C_M chr19 4.5 7 0.104398453143 0.130156575639 0.0531361994972
FST_C_M chr19 6.0 67 -0.127204989914 0.103941967703 0.0127943717799
FST_C_M chr19 5.75 55 -0.0285001477288 0.0972010051872 0.0132273813997
FST_C_M chr19 6.25 55 -0.242758351508 0.15028489551 0.0204511838914
FST_C_M chr19 4.75 4 -0.00442400259335 0.0697869142993 0.0402914937566
FST_C_M chr18 5.5 17 0.290542297691 0.0988135403774 0.0247033850944
FST_C_M chr18 6.5 10 0.182435015304 0.131524286608 0.0438414288693
FST_C_M chr18 6.75 83 -0.00259522506338 0.0343200513648 0.00379001564718
FST_C_M chr18 4.0 1 0.00832887504619 0.0 nan
FST_C_M chr18 5.0 7 0.14901420442 0.108157749191 0.0441552162078
FST_C_M chr18 6.0 6 0.443492874964 0.0609630945783 0.0272635247192
FST_C_M chr18 7.0 23 -0.590252206391 0.827790851143 0.176485602456
FST_C_M chr18 4.25 1 0.0182136950172 0.0 nan
FST_C_M chr18 4.5 4 0.178415084332 0.134023055581 0.0773782472175
FST_C_M chr18 5.75 56 0.368346204696 0.209717715142 0.028278330941
FST_C_M chr18 4.75 7 0.20791785242 0.142193159032 0.0580501140904
FST_C_M chr18 6.25 23 0.19360510055 0.166887862498 0.0355806118356
FST_C_M chr18 5.25 17 0.200994180457 0.107002530523 0.0267506326309
FST_C_M chr9 6.5 5 -0.0461283682037 0.0672304104624 0.0336152052312
FST_C_M chr9 5.25 1 -0.103761104824 0.0 nan
FST_C_M chr9 6.75 5 -0.0083855904762 0.154836627879 0.0774183139394
FST_C_M chr9 5.0 1 0.101910801707 0.0 nan
FST_C_M chr9 4.75 1 -0.0935473852271 0.0 nan
FST_C_M chr9 6.0 3 -0.17380965432 0.111944255853 0.0791565424283
FST_C_M chr9 5.75 37 -0.161049341858 0.127254549896 0.0212090916493
FST_C_M chr9 6.25 6 0.289481093692 0.0817773092821 0.0365719245144
FST_C_M chr20 6.5 4 -0.307937277685 0.273322101008 0.157802588593
FST_C_M chr20 5.75 1 0.255255256299 0.0 nan
FST_C_M chr20 5.0 1 0.292673101963 0.0 nan
FST_C_M chr20 5.5 15 -0.0336168368659 0.155577437511 0.0415798191628
FST_C_M chr20 6.0 16 0.16177597237 0.236292386292 0.0610104317964
FST_C_M chr20 4.5 4 0.0360882046157 0.335340170763 0.19360873786
FST_C_M chr20 6.25 5 -0.0631000075301 0.0699436628245 0.0349718314123
FST_C_M chr7 5.5 3 0.133663477418 0.0923645090033 0.0653115706572
FST_C_M chr7 6.5 51 -0.299659629398 0.336464429176 0.0475832558996
FST_C_M chr7 6.75 26 -0.0429828376257 0.176748831588 0.0353497663177
FST_C_M chr7 5.0 4 0.0816289263913 0.129512176504 0.0747738899679
FST_C_M chr7 5.25 2 0.181195615862 0.0727643421001 0.0727643421001
FST_C_M chr7 7.0 26 -2.16434264038 0.933625853557 0.186725170711
FST_C_M chr7 0.0 1 1.85907705533 0.0 nan
FST_C_M chr7 4.5 1 0.294952573517 0.0 nan
FST_C_M chr7 6.0 7 0.217601775993 0.0879713211266 0.0359141414598
FST_C_M chr7 5.75 6 0.162044484765 0.05191262201 0.0232160303409
FST_C_M chr7 6.25 82 -0.237526628622 0.2773731707 0.0308192411889
FST_C_M chr7 4.75 2 0.0150774831309 0.0172408989815 0.0172408989815
FST_C_M chr6 5.5 5 -0.004462624899 0.030728460419 0.0153642302095
FST_C_M chr6 6.5 31 0.155697918998 0.132464476735 0.0241845939919
FST_C_M chr6 6.75 27 -0.105963475266 0.084466673076 0.0165652774716
FST_C_M chr6 5.0 4 0.0545794495988 0.067208762001 0.0388029968332
FST_C_M chr6 5.25 12 0.0355123000847 0.0928117897837 0.0279838075303
FST_C_M chr6 7.0 9 0.0424787442795 0.377587220614 0.133497242093
FST_C_M chr6 4.25 8 0.125074771244 0.235898942708 0.0891614195642
FST_C_M chr6 4.5 2 -0.0586894381221 0.0711455948381 0.0711455948381
FST_C_M chr6 6.0 23 -0.0607278241808 0.0757308391434 0.0161458691556
FST_C_M chr6 5.75 6 -0.0293357711153 0.0367372014897 0.0164293759668
FST_C_M chr6 6.25 27 0.124880009193 0.223089161952 0.0437513842333
FST_C_M chr6 4.75 3 0.0717636278189 0.102010082493 0.07213202108
FST_C_M chr5 6.5 39 -0.134803660568 0.0618686221273 0.0100364158049
FST_C_M chr5 6.25 12 0.36644491975 0.0531429006043 0.016023187416
FST_C_M chr5 6.0 8 0.462450377928 0.104269954016 0.0394103382204
FST_C_M chr5 6.75 12 -1.98213043242 0.450026070444 0.135687965595
FST_C_M chr5 4.5 1 0.319669534174 0.0 nan
FST_C_M chr5 5.5 3 0.119692554864 0.0687603575361 0.0486209150906
FST_C_M chr5 4.75 1 -0.0353504576025 0.0 nan
FST_C_M chr5 5.75 8 0.331450680539 0.199002809483 0.0752159920135
FST_C_M chr4 6.5 5 -0.872627622537 0.149881721026 0.074940860513
FST_C_M chr4 5.25 4 0.104952114344 0.274751560037 0.158627887148
FST_C_M chr4 5.75 23 0.453639429651 0.184954599183 0.0394324530392
FST_C_M chr4 6.75 2 -3.22173696271 0.518527529361 0.518527529361
FST_C_M chr3 5.5 11 0.073715599041 0.115474285792 0.0365161754284
FST_C_M chr3 6.5 6 0.0733444047089 0.0413364047822 0.0184862022077
FST_C_M chr3 6.75 6 -0.747015079512 0.212847344629 0.0951882262844
FST_C_M chr3 5.0 48 -0.0339881762706 0.235014330538 0.0342803633258
FST_C_M chr3 4.75 4 0.046438246466 0.0987786260236 0.0570298663249
FST_C_M chr3 4.5 2 0.0556641247682 0.0839085945458 0.0839085945458
FST_C_M chr3 6.0 1 0.322232440542 0.0 nan
FST_C_M chr3 5.75 2 0.250953027781 0.0301172291474 0.0301172291474
FST_C_M chr3 6.25 18 0.00618655920748 0.16889452779 0.0409629398629
FST_C_M chr3 5.25 11 -0.0144789843258 0.127570803863 0.0403414303146
FST_C_M chr2 5.5 14 0.277256290436 0.231630029717 0.0642426114679
FST_C_M chr2 5.25 3 -0.186451003774 0.0316379075458 0.0223713789682
FST_C_M chr2 6.25 11 -0.395537518943 0.208790625526 0.0660253930755
FST_C_M chr2 6.0 13 0.133478847376 0.105059296035 0.0303280064234
FST_C_M chr2 5.75 13 0.117084079332 0.172263062598 0.0497280627811
FST_C_M chr1 5.5 25 -0.0542527989696 0.104963194847 0.0214255224289
FST_C_M chr1 6.5 10 0.317660067482 0.152131360718 0.0507104535727
FST_C_M chr1 6.75 15 0.0248697070158 0.0306274929437 0.00818554180078
FST_C_M chr1 6.0 20 0.0508133958961 0.0773529226335 0.017745977513
FST_C_M chr1 4.75 20 -0.0201368809106 0.14094246083 0.0323344180849
FST_C_M chr1 7.0 15 -0.788929166209 0.477500522023 0.12761738253
FST_C_M chr1 4.25 3 0.137357345564 0.0863475071254 0.0610569078269
FST_C_M chr1 4.5 2 0.11078880673 0.0284965885128 0.0284965885128
FST_C_M chr1 5.75 20 -0.0699632810922 0.0514911757592 0.0118128858747
FST_C_M chr1 6.25 81 -0.0880874791161 0.160104569322 0.0179002350256
FST_C_M chr1 5.25 3 0.0470096374032 0.0283425676635 0.0200412217911
FST_C_M chr8 5.5 1 0.422559524903 0.0 nan
FST_C_M chr8 6.5 7 -0.0649050746356 0.131346158099 0.053621844503
FST_C_M chr8 6.0 6 0.164793330913 0.184175315995 0.0823657052686
FST_C_M chr8 5.75 7 0.411685043536 0.123681896328 0.0504929227371
FST_C_M chr8 4.5 1 0.328229314972 0.0 nan
FST_C_M chr8 5.25 1 -0.123571542322 0.0 nan
FST_C_M chr8 6.25 32 -0.46812661385 0.328089523394 0.058926617941
FST_C_M chr8 4.75 9 0.0434551679362 0.251678635286 0.0889818348452
FST_C_P chr1 5.25 12 0.121717228292 0.595436831055 0.179530959543
FST_C_P chr10 6.5 1 0.30701124671 0.0 nan
FST_P_M chrZ 6.5 7 -0.667158478915 0.668291228828 0.272828751701
FST_P_M chrZ 5.25 2 0.0699896260966 0.04044755509 0.04044755509
FST_P_M chrZ 5.0 4 -0.00124789530805 0.047161658495 0.0272287962275
FST_P_M chrZ 5.75 7 0.135581754788 0.142586308976 0.0582106168828
FST_P_M chrZ 5.5 8 0.0420861235626 0.103931679995 0.0392824826583
FST_P_M chrZ 6.0 7 0.354850046022 0.13315980684 0.0543622635007
FST_P_M chrZ 6.25 15 -0.415235806257 0.103882481057 0.0277637609002
FST_P_M chrZ 4.25 1 -0.0102786185601 0.0 nan
FST_P_M chr13 5.5 44 -0.0564483082361 0.054450017067 0.00830354975731
FST_P_M chr13 6.5 45 -0.0423045627379 0.0974889224887 0.0146970080505
FST_P_M chr13 6.75 100 -0.00472192175961 0.0543356738174 0.0054609406904
FST_P_M chr13 4.0 1 0.180611103528 0.0 nan
FST_P_M chr13 5.0 17 0.0243245292966 0.0464184911705 0.0116046227926
FST_P_M chr13 6.0 100 -0.189087687547 0.069246392349 0.0069595242881
FST_P_M chr13 7.0 33 0.259288528351 0.243448666957 0.043036050819
FST_P_M chr13 0.0 1 1.98426239436 0.0 nan
FST_P_M chr13 4.25 6 0.00681000018699 0.0834490406164 0.0373195454951
FST_P_M chr13 4.5 10 0.0535702051778 0.0638783423246 0.0212927807749
FST_P_M chr13 5.75 28 -0.036546357719 0.0656508178258 0.0126345057814
FST_P_M chr13 4.75 15 -0.0149715220494 0.0979109310681 0.0261677970341
FST_P_M chr13 6.25 45 -0.0433955139272 0.0851145923656 0.0128315075937
FST_P_M chr13 5.25 15 -0.0266771384705 0.0614756198348 0.0164300505044
FST_P_M chr12 5.5 26 -0.055356693162 0.0534553679927 0.0106910735985
FST_P_M chr12 6.5 23 0.106053564972 0.183907984965 0.0392093141381
FST_P_M chr12 6.75 30 0.0198906868748 0.02170977124 0.00403140331217
FST_P_M chr12 5.0 9 -0.0183991368537 0.0457447248419 0.0161732025696
FST_P_M chr12 5.25 20 -0.011176706702 0.0528926266523 0.0121344007598
FST_P_M chr12 7.0 21 0.0926212186363 0.336244196838 0.0751864881169
FST_P_M chr12 0.0 1 1.19858238008 0.0 nan
FST_P_M chr12 4.25 3 -0.00921530903554 0.0260125070556 0.0183936201347
FST_P_M chr12 4.5 1 -0.0176651844621 0.0 nan
FST_P_M chr12 6.0 100 -0.184701203351 0.054773924933 0.00550498658478
FST_P_M chr12 5.75 27 -0.0893848833623 0.0604590028476 0.0118569859728
FST_P_M chr12 6.25 26 -0.0991973263785 0.0778537737688 0.0155707547538
FST_P_M chr12 4.75 19 -0.00873802389701 0.0951011739413 0.0224155616642
FST_P_M chr11 5.5 16 -0.0673029798723 0.0744948458805 0.0192344864982
FST_P_M chr11 6.5 20 -0.114466090035 0.102444432332 0.0235023646245
FST_P_M chr11 6.75 20 0.204365483852 0.255134618227 0.0585318956764
FST_P_M chr11 5.0 5 -0.0793160736866 0.0898151010783 0.0449075505391
FST_P_M chr11 4.75 9 0.0447851792709 0.0806161633852 0.0285021179014
FST_P_M chr11 4.25 3 -0.0538369556423 0.112760671033 0.0797338351383
FST_P_M chr11 6.0 7 -0.1411028586 0.0311998592096 0.012737289185
FST_P_M chr11 5.75 24 -0.157170540662 0.0635824946476 0.0132578666157
FST_P_M chr11 6.25 39 -0.21918966428 0.232766924549 0.0377597812926
FST_P_M chr11 5.25 7 -0.0247096709278 0.092334302264 0.0376953210505
FST_P_M chr10 5.5 10 -0.0129242868992 0.06585073251 0.02195024417
FST_P_M chr10 6.5 100 -0.300352464646 0.125684879228 0.012631805643
FST_P_M chr10 6.75 31 -0.0275801689212 0.0568299839831 0.0103756880567
FST_P_M chr10 5.0 24 -0.0340771515409 0.138895788664 0.0289617739883
FST_P_M chr10 5.25 9 -0.0461849935943 0.0476057748606 0.0168311831138
FST_P_M chr10 7.0 18 0.413486750842 0.300920774541 0.0729840081396
FST_P_M chr10 0.0 1 1.50088714817 0.0 nan
FST_P_M chr10 4.25 3 0.0497263720664 0.099837447884 0.0705957364151
FST_P_M chr10 4.5 4 -0.0225126056041 0.096819278738 0.0558986366421
FST_P_M chr10 6.0 20 -0.109580416041 0.0899782114666 0.020642417416
FST_P_M chr10 5.75 35 -0.0822842790332 0.0662519437705 0.0113621146196
FST_P_M chr10 6.25 31 -0.205991784358 0.142093976197 0.0259426920163
FST_P_M chr10 4.75 3 -0.0471112588956 0.0319531846345 0.0225943135355
FST_P_M chr17 0.0 2 2.09056395788 0.10416022474 0.10416022474
FST_P_M chr17 5.5 30 -0.0524524323465 0.0549855783775 0.0102105655717
FST_P_M chr17 6.75 100 -0.103564597315 0.0447303251707 0.00449556682853
FST_P_M chr17 5.0 6 -0.0286437169022 0.061968292015 0.027713062679
FST_P_M chr17 6.0 100 -0.157243319125 0.109938007688 0.0110491855061
FST_P_M chr17 7.0 4 0.121190846368 0.172194804386 0.0994167166654
FST_P_M chr17 4.5 5 0.0896133267655 0.0678617436011 0.0339308718005
FST_P_M chr17 4.75 7 0.0276358144095 0.0480159794928 0.0196024415429
FST_P_M chr17 5.75 55 -0.095046874595 0.049214966926 0.00669730870426
FST_P_M chr17 5.25 14 -0.0507829170681 0.0702465026309 0.0194828743967
FST_P_M chr17 6.25 37 -0.104736367031 0.175247205702 0.029207867617
FST_P_M chr17 6.5 100 -0.00922958613124 0.0926281497028 0.00930947932088
FST_P_M chr16 5.5 2 0.20030031406 0.0435221060038 0.0435221060038
FST_P_M chr16 6.5 24 0.00824357234586 0.0715311557235 0.0149152770225
FST_P_M chr16 6.75 14 -0.40944746737 0.510205023124 0.141505413221
FST_P_M chr16 4.0 7 -0.0454703191882 0.268675792329 0.109686432907
FST_P_M chr16 5.0 56 -0.0684436016007 0.196305247184 0.0264697941305
FST_P_M chr16 6.0 4 0.221027976263 0.0493009870852 0.028463938165
FST_P_M chr16 4.25 1 0.0372958246712 0.0 nan
FST_P_M chr16 4.5 9 -0.105266519706 0.154203662911 0.0545192278641
FST_P_M chr16 5.75 4 0.195172963198 0.0505712697885 0.0291973362257
FST_P_M chr16 4.75 5 -0.0354115420481 0.122957545588 0.061478772794
FST_P_M chr16 6.25 14 0.0586973423311 0.164674038033 0.045672360605
FST_P_M chr16 5.25 12 -0.0634332104741 0.0888082949994 0.0267767084349
FST_P_M chr15 5.5 8 0.167032812539 0.112981873569 0.0427031343032
FST_P_M chr15 6.5 12 0.0873906792132 0.0894824061658 0.0269799605991
FST_P_M chr15 6.75 10 -0.327534352613 0.885588723492 0.295196241164
FST_P_M chr15 5.0 11 -0.0567456198915 0.0845718219809 0.026743958333
FST_P_M chr15 4.75 3 0.0245343188734 0.0236734660987 0.0167396684126
FST_P_M chr15 0.0 1 0.260643728837 0.0 nan
FST_P_M chr15 6.0 12 0.0580770197445 0.199930310794 0.0602812568293
FST_P_M chr15 5.75 5 0.0764777248134 0.138495587735 0.0692477938674
FST_P_M chr15 6.25 29 0.110252162119 0.268692281068 0.0507780682078
FST_P_M chr15 5.25 8 -0.0372964425949 0.0652728739957 0.0246708274216
FST_P_M chr14 5.5 7 0.346232242066 0.186143522559 0.0759927748656
FST_P_M chr14 6.5 15 0.229217017434 0.416469218294 0.1113060805
FST_P_M chr14 6.75 4 -3.1490387521 1.08272252532 0.62511014145
FST_P_M chr14 5.0 5 0.225158062826 0.124901637185 0.0624508185924
FST_P_M chr14 5.75 1 0.26470439191 0.0 nan
FST_P_M chr14 6.0 2 0.239414618603 0.0382773630136 0.0382773630136
FST_P_M chr14 6.25 4 -0.101084537715 0.172044943276 0.0993301943128
FST_P_M chr14 5.25 5 0.166880469412 0.18720783549 0.093603917745
FST_P_M chr19 5.5 29 -0.043840853068 0.0919678498787 0.0173802899566
FST_P_M chr19 6.5 23 0.305293668096 0.126052360071 0.0268744534655
FST_P_M chr19 6.75 29 -0.06797909454 0.0214881083788 0.00406087077968
FST_P_M chr19 4.0 1 0.046781556326 0.0 nan
FST_P_M chr19 5.0 7 -0.00153484687567 0.0402500197019 0.0164320017344
FST_P_M chr19 6.0 25 -0.0770419467505 0.11186050554 0.0228334300786
FST_P_M chr19 7.0 91 -1.06680586148 0.393949337784 0.0415259063371
FST_P_M chr19 4.5 10 0.00821887958003 0.1149408472 0.0383136157333
FST_P_M chr19 5.75 23 -0.086328483103 0.062685389418 0.013364569929
FST_P_M chr19 4.75 6 -0.00324259852216 0.0784683640893 0.0350921192374
FST_P_M chr19 6.25 29 0.126918263144 0.100736534827 0.0190374156494
FST_P_M chr19 5.25 16 0.00946794877955 0.062353042185 0.0160994862645
FST_P_M chr18 5.5 5 0.0664298679515 0.02183679906 0.01091839953
FST_P_M chr18 6.5 97 0.253301863447 0.200519434619 0.0204654290969
FST_P_M chr18 6.75 75 -0.00605593813923 0.0209529505462 0.00243573102571
FST_P_M chr18 4.0 1 -0.016390387688 0.0 nan
FST_P_M chr18 5.0 25 0.0771118970922 0.117599218944 0.0240048400468
FST_P_M chr18 6.0 32 0.160686681471 0.123130189294 0.0221148348367
FST_P_M chr18 7.0 75 -0.729326753694 0.523778851365 0.0608880546952
FST_P_M chr18 4.25 1 -0.0306068430444 0.0 nan
FST_P_M chr18 4.5 5 0.0448262839944 0.0833008274005 0.0416504137003
FST_P_M chr18 5.75 48 -0.0168436816599 0.0833695108836 0.0121606929962
FST_P_M chr18 4.75 2 0.128016110325 0.0133397484025 0.0133397484025
FST_P_M chr18 6.25 48 0.172934522755 0.177220045152 0.0258502003794
FST_P_M chr18 5.25 4 0.0425257662389 0.0480694060392 0.0277528845165
FST_P_M chr9 5.5 1 0.0677092148406 0.0 nan
FST_P_M chr9 6.5 14 0.0416169278583 0.0541472504627 0.0150177452284
FST_P_M chr9 6.75 7 0.219455383327 0.313256289361 0.127886344609
FST_P_M chr9 4.0 1 -0.339659486959 0.0 nan
FST_P_M chr9 5.0 3 0.0467505200822 0.0902573128893 0.0638215579957
FST_P_M chr9 6.0 3 0.0620956310742 0.064684438361 0.0457388050023
FST_P_M chr9 5.75 22 -0.0153528657754 0.141437765758 0.0308642508435
FST_P_M chr9 4.75 1 0.149881632013 0.0 nan
FST_P_M chr9 6.25 14 -0.0135832802502 0.206667850026 0.0573193484813
FST_P_M chr9 5.25 3 0.0688783732436 0.0456057422662 0.0322481296175
FST_P_M chr20 5.5 12 -0.016151752806 0.0900595423929 0.0271539737189
FST_P_M chr20 6.5 23 -0.0153646232804 0.49823965618 0.106225051614
FST_P_M chr20 5.0 7 -0.0415308152974 0.121688097737 0.0496789578711
FST_P_M chr20 4.75 5 -0.0116584538646 0.0803721198289 0.0401860599145
FST_P_M chr20 6.0 13 0.21079182753 0.0829074629033 0.0239333230125
FST_P_M chr20 5.75 27 -0.0758564598667 0.168955565584 0.0331349125325
FST_P_M chr20 6.25 23 0.0443709651249 0.0919866648278 0.0196116228365
FST_P_M chr20 5.25 7 0.0269279544637 0.089929799025 0.0367136867137
FST_P_M chr7 5.5 37 0.0559114126088 0.0888171042688 0.0148028507115
FST_P_M chr7 6.5 43 0.266559745011 0.105899610963 0.0163406647313
FST_P_M chr7 6.75 29 -0.131491410167 0.148362998359 0.0280379712445
FST_P_M chr7 5.0 14 0.142506584988 0.11228218266 0.0311414743772
FST_P_M chr7 5.25 6 0.0534035280062 0.0431520642982 0.019298189828
FST_P_M chr7 7.0 25 -0.778052386382 1.05357333316 0.21505975607
FST_P_M chr7 4.25 5 0.101746361001 0.221394943723 0.110697471861
FST_P_M chr7 4.5 8 0.0807544684503 0.153659123681 0.0580776897052
FST_P_M chr7 6.0 27 0.0649270856242 0.150442015439 0.0295041066304
FST_P_M chr7 5.75 14 0.147798004401 0.0713638452769 0.0197927694892
FST_P_M chr7 6.25 37 -0.153552827068 0.177485102722 0.0295808504536
FST_P_M chr7 4.75 3 -0.0279031318106 0.0434955918314 0.0307560279357
FST_P_M chr6 5.5 22 -0.0675784431102 0.0462600213232 0.0100947642554
FST_P_M chr6 6.5 76 -0.572661279121 0.213449290761 0.0246470010959
FST_P_M chr6 6.75 45 0.375948849686 0.127061179497 0.0191551935368
FST_P_M chr6 5.0 7 -0.0372301974405 0.0586211307219 0.0239319764023
FST_P_M chr6 5.25 23 -0.0542055335038 0.0495644610383 0.0105671785991
FST_P_M chr6 7.0 4 0.636519872384 0.425357208094 0.245580098595
FST_P_M chr6 0.0 1 1.31224560041 0.0 nan
