Comparison Chrm Bin Mean STDev SEM
FST_C_M chr9 6 -0.0500488720459 0.0287386230084 0.00829612586502
FST_C_M chr20 5 0.00931930798285 0.0789379703666 0.0455748584405
FST_C_M chr20 6 0.00677861465683 0.0485504336276 0.00546235054591
FST_C_M chr7 0 1.84880357395 0.0166663866609 0.0166663866609
FST_C_M chr7 4 0.0404282544441 0.117992517832 0.0527678581416
FST_C_M chr7 5 0.278056540067 0.105111203646 0.0429114691972
FST_C_M chr7 6 0.0523737418191 0.0438575782206 0.0082883032198
FST_C_M chr7 7 -3.64068048558 1.7132620615 0.357239834879
FST_C_M chr6 0 1.88972631097 0.0 nan
FST_C_M chr6 4 0.0585919854268 0.0504585974044 0.0252292987022
FST_C_M chr6 5 -0.0702618703922 0.0505341038246 0.00991055313476
FST_C_M chr6 6 -0.0670498223882 0.0562790174939 0.00820913840826
FST_C_M chr6 7 -0.533999671237 0.609678694696 0.248900284842
FST_C_M chr5 0 0.105161477496 0.0 nan
FST_C_M chr5 4 -0.0358439064461 0.0972252384013 0.0486126192006
FST_C_M chr5 5 0.418395083936 0.0946298913769 0.0386324913814
FST_C_M chr5 6 -0.11622843568 0.0451411796313 0.0125199105996
FST_C_M chr4 5 -0.0407872438311 0.00847027264021 0.00847027264021
FST_C_M chr4 6 -0.0507489059344 0.0726351058807 0.0256803879602
FST_C_M chr3 0 1.29317933491 0.0 nan
FST_C_M chr3 4 -0.0665270758967 0.0807836588611 0.0807836588611
FST_C_M chr3 5 0.132775766086 0.124650181229 0.0171220191899
FST_C_M chr3 6 -0.0236740473771 0.0182760303126 0.00419280890641
FST_C_M chr2 0 0.0821262353588 0.0 nan
FST_C_M chr2 5 -0.0318994418755 0.0998583099891 0.0332861033297
FST_C_M chr2 6 0.128557274455 0.07929355075 0.07929355075
FST_C_M chr1 0 1.98437322299 0.0668560838613 0.0472743902619
FST_C_M chr1 4 0.0402661804203 0.0203870377241 0.0203870377241
FST_C_M chr1 5 0.189839003913 0.120973013596 0.0252246170467
FST_C_M chr1 6 0.211425585982 0.13580840371 0.0158951713691
FST_C_M chr1 7 -0.934349072089 0.473771958803 0.0837518412014
FST_C_M chr8 0 1.84210232606 0.0 nan
FST_C_M chr8 4 0.0558948384214 0.184538656264 0.0753375909442
FST_C_M chr8 5 -0.0245930107834 0.144280791238 0.0294511931849
FST_C_M chr8 6 0.00907383809021 0.0430014737085 0.00726857569286
FST_C_P chr1 5 -0.13627866392 0.0222131240963 0.0222131240963
FST_C_P chr10 6 -0.0773958867568 0.0 nan
